CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2021;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;;5.000;5.000;16/04/2022
2021;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;;11.766;;16/04/2022
2021;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;;11.154;;16/04/2022
2021;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;;11.156;;16/04/2022
2021;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;16/04/2022
2021;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;;6.147;;16/04/2022
2021;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;;10.702;;16/04/2022
2021;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;;11.103;;16/04/2022
2021;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;;7.032;;16/04/2022
2021;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;5.000;16/04/2022
2021;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;;10.791;;16/04/2022
2021;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;;5.000;;16/04/2022
2021;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;10.818;;16/04/2022
2021;Grado: Geología;Zaragoza;Facultad de Ciencias;;5.000;5.000;16/04/2022
2021;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;;5.000;5.964;16/04/2022
2021;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;;9.897;;16/04/2022
2021;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;;7.530;;16/04/2022
2021;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;16/04/2022
2021;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;;9.803;;16/04/2022
2021;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;;5.000;;16/04/2022
2021;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;16/04/2022
2021;Grado: Medicina;Zaragoza;Facultad de Medicina;;13.031;;16/04/2022
2021;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.937;;16/04/2022
2021;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Física;Zaragoza;Facultad de Ciencias;;12.117;;16/04/2022
2021;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;;11.870;;16/04/2022
2021;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;;11.798;;16/04/2022
2021;Grado: Química;Zaragoza;Facultad de Ciencias;;5.000;5.000;16/04/2022
2021;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;;8.346;;16/04/2022
2021;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.350;;16/04/2022
2021;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;;11.240;;16/04/2022
2021;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;;6.460;;16/04/2022
2021;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;16/04/2022
2021;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;16/04/2022
2021;Grado: Derecho;Zaragoza;Facultad de Derecho;;9.643;;16/04/2022
2021;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;16/04/2022
2021;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;16/04/2022
2021;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;16/04/2022
2021;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;;7.240;;16/04/2022
2021;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;5.000;16/04/2022
2021;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;16/04/2022
2021;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;16/04/2022
